bid_id,vendor_name,vendor_rank,vendor_price,price_raw,status_flag
9323923,M/S M.P.TRADERS Under PMA,,,,MII
9323923,Shiva Sales Corporation Under PMA,,,,MII
9323923,SS PROFESSIONAL SERVICES LLP Under PMA,,,,MII
9323506,ASHOKA ENGINEERING WORKS Under PMA,,,,MII MSE
9323506,BLUE THROAT LIMITED Under PMA,,,,MII MSE
9323506,Raj Motor store Under PMA,,,,MII MSE
9315824,M/S SHREE ENTERPRISES Under PMA,,,,Offline upload
9315824,OMG ENGINEERING Under PMA,,,,Offline upload
9315824,TRIPATI ENTERPRISES Under PMA,,,,Offline upload
9315781,M/S SHREE ENTERPRISES Under PMA,,,,Offline upload
9315781,OMG ENGINEERING Under PMA,,,,Offline upload
9315781,TRIPATI ENTERPRISES Under PMA,,,,Offline upload
9323261,A S S SECURITY GROUP Under PMA,,,,MSE
9323261,ABSF MANAGEMENT INDIA PRIVATE LIMITED Under PMA,,,,N/A
9323261,ADITHI GLOBAL CARE PRIVATE LIMITED Under PMA,,,,MSE
9323261,AEROTEK SERVICES Under PMA,,,,MSE
9323261,ALBERTO TECHNOLOGIES Under PMA,,,,MSE
9323261,ALLIANCE OUTSOURCING PRIVATE LIMITED Under PMA,,,,MSE
9323261,AMPUG Solutions Under PMA,,,,MSE
9323261,ANANYA SERVICES Under PMA,,,,MSE
9323261,ANJANIPUTAR MANPOWER SERVICES Under PMA,,,,N/A
9323261,ARIHANT OUTSOURCING SOLUTIONS Under PMA,,,,MSE
9323261,ARYAN BIZZ PRIVATE LIMITED Under PMA,,,,MSE
9323261,ASHFORD STAFFING (OPC) PRIVATE LIMITED Under PMA,,,,MSE
9323261,ASIAN HAWKS MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,ATIREKA SHRAMIKA PRIVATE LIMITED Under PMA,,,,MSE
9323261,AWADH SECURITY SERVICES PRIVATE LIMITED Under PMA,,,,N/A
9323261,axis sales corp. Under PMA,,,,MSE
9323261,B D MOBEL PRIVATE LIMITED Under PMA,,,,MSE
9323261,B.P. CONSTRUCTION Under PMA,,,,MSE
9323261,BALAJI ENTERPRISES Under PMA,,,,MSE
9323261,BD SECURITY Under PMA,,,,MSE
9323261,BEENA SECURITY SERVICE Under PMA,,,,MSE
9323261,BEST INDIA SOLUTION Under PMA,,,,MSE
9323261,BHAGWATI MANPOWER SERVICES Under PMA,,,,MSE
9323261,BHANU UDAY SECURITY SERVICES Under PMA,,,,MSE
9323261,BHARAT KRISHI PASHUPALAN KENDRA Under PMA,,,,MSE
9323261,BRIGHT ENTERPRISES Under PMA,,,,MSE
9323261,CAPTAIN SUNLIGHT SECURITY AGENCY PRIVATE LIMITED Under PMA,,,,MSE
9323261,CHANDRA HOSPITALITY SERVICE Under PMA,,,,MSE
9323261,CITY HAWKS MANPOWER SERVICES AND CONSULTANCY PRIVATE LIMITED Under PMA,,,,MSE
9323261,COMPASS VISION SERVICES Under PMA,,,,MSE
9323261,COMPASVISION INFOTECH (OPC) PRIVATE LIMITED Under PMA,,,,MSE
9323261,COUNTRYWIDE TECHNOLOGIES PRIVATE LIMITED Under PMA,,,,MSE
9323261,DRIVYA SECURITY AND INTEGRATED SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,DRONE SECURITY AGENCY Under PMA,,,,MSE
9323261,ECO ANN ORGANIC PRIVATE LIMITED Under PMA,,,,MSE
9323261,EJEE COMPLETE OFFICE SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9323261,EMPVIN CONSULTANCY PRIVATE LIMITED Under PMA,,,,MSE
9323261,EVOLUTION STAFFING LLP Under PMA,,,,MSE
9323261,EVORV PRIVATE LIMITED Under PMA,,,,MSE
9323261,G.K.ENTERPRISE Under PMA,,,,MSE
9323261,GEONOVATECH INFRA AND SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,GILL ENTERPRISES Under PMA,,,,MSE
9323261,Global Infra Solution Under PMA,,,,MSE
9323261,GOLDEN TRIANGLE SECURITY SERVICE PRIVATE LIMITED Under PMA,,,,MSE
9323261,Growing Manpower Service Under PMA,,,,MSE
9323261,GUNJAN GLOBAL INFRAVENTURE Under PMA,,,,MSE
9323261,GUPTA ENTERPRISES Under PMA,,,,MSE
9323261,GURU NANAK SECURITY Under PMA,,,,MSE
9323261,HELIS CONSULTING PRIVATE LIMITED Under PMA,,,,MSE
9323261,Helis Technologies Under PMA,,,,MSE
9323261,INSF INDIA PRIVATE LIMITED Under PMA,,,,N/A
9323261,INTELLISMART ENERGY SOLUTIONS Under PMA,,,,MSE
9323261,IRON WOLF SECURITY LLP Under PMA,,,,MSE
9323261,ISHITA SECURITY AND MANPOWER SERVICE PRIVATE LIMITED Under PMA,,,,MSE
9323261,J B SECURITY SERVICE Under PMA,,,,MSE
9323261,J B TRADING CO Under PMA,,,,MSE
9323261,J K ENTERPRISES Under PMA,,,,MSE
9323261,J N ENTERPRISES Under PMA,,,,MSE
9323261,J SHARP PRIVATE LIMITED Under PMA,,,,MSE
9323261,J.S Enterprises Under PMA,,,,MSE
9323261,JAGADVYAPI FACILITIES PRIVATE LIMITED Under PMA,,,,MSE
9323261,JAI BHOLENATH SERVICES Under PMA,,,,MSE
9323261,JAI DURGA SHAKTI SERVICES Under PMA,,,,MSE
9323261,JAI JAWALAJI SECURITY AND MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,N/A
9323261,JAIN CORPORATION Under PMA,,,,MSE
9323261,JIVANSH HANS PRIVATE LIMITED Under PMA,,,,MSE
9323261,JKM TOTAL SECURITY (OPC) PRIVATE LIMITED Under PMA,,,,MSE
9323261,JSR ENTERPRISES Under PMA,,,,MSE
9323261,K P N SAI INFRA PRIVATE LIMITED Under PMA,,,,MSE
9323261,Kanishk Enterprises Under PMA,,,,MSE
9323261,KARMBHUMI ENGINEERING & FACILITY MANAGEMENT PRIVATE LIMITED Under PMA,,,,MSE
9323261,KAYRA MANPOWER SUPPLIER Under PMA,,,,MSE
9323261,KESHWISE NEXUS PRIVATE LIMITED Under PMA,,,,N/A
9323261,KGM Enterprise Under PMA,,,,MSE
9323261,KINSHIP SERVICES Under PMA,,,,MSE
9323261,KR ASSOCIATES Under PMA,,,,MSE
9323261,KULDEEP COMMUNICATION & ELECTRONICS Under PMA,,,,MSE
9323261,LAADU SHYAM KISHORI SECURITIES PRIVATE LIMITED Under PMA,,,,MSE
9323261,LAKSHYARAJ ASSOCIATES Under PMA,,,,N/A
9323261,LEAD SALES AND SUPPLY Under PMA,,,,N/A
9323261,M.M. EAGLES SECURITY Under PMA,,,,MSE
9323261,M.S. ENTERPRISES Under PMA,,,,MSE
9323261,M/S AADITYA ENTERPRISES Under PMA,,,,N/A
9323261,M/S AWADH GROUP Under PMA,,,,N/A
9323261,M/S BANKE BIHARI SERVICES AND MANPOWER SUPPLYAR Under PMA,,,,MSE
9323261,M/S BHAGWATI SERVICES Under PMA,,,,MSE
9323261,M/S DOLE ENTERPRISES Under PMA,,,,MSE
9323261,M/S NIRBHIK INDIA SERVICES Under PMA,,,,MSE
9323261,MADWA ASSOCIATES Under PMA,,,,MSE
9323261,MAHI IT GLOBAL INDIA PRIVATE LIMITED Under PMA,,,,MSE
9323261,Marg Enterprises Under PMA,,,,MSE
9323261,MAXWELL MULTISERVICES & CONSTRUCTIONS PRIVATE LIMITED Under PMA,,,,MSE
9323261,National Services and Manpower Supply Under PMA,,,,MSE
9323261,NEGIE INFOTECH Under PMA,,,,MSE
9323261,New Tiger Security Services Under PMA,,,,MSE
9323261,NISHIDA AGENCY Under PMA,,,,N/A
9323261,NOKN INDIA PRIVATE LIMITED Under PMA,,,,MSE
9323261,OJN FACILITIES PRIVATE LIMITED Under PMA,,,,MSE
9323261,OM SHREE PAWANPUTRA SERVICES Under PMA,,,,MSE
9323261,OMILA MAHABALA ANANTA PRIVATE LIMITED Under PMA,,,,MSE
9323261,ONE SOLUTION Under PMA,,,,MSE
9323261,PARI MANPOWER ENTERPRISES (OPC) PRIVATE LIMITED Under PMA,,,,MSE
9323261,PARV TRADERS Under PMA,,,,MSE
9323261,PHR ENTERPRISES Under PMA,,,,MSE
9323261,Pihu Manpower Service Under PMA,,,,MSE
9323261,PINK RIDER PRIVATE LIMITED Under PMA,,,,MSE
9323261,PLANET SECURITY PRIVATE LIMITED Under PMA,,,,MSE
9323261,PLAYMATE OUTSOURCING SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,PM SERVICES Under PMA,,,,MSE
9323261,PMS INT BHATTHA Under PMA,,,,MSE
9323261,PR ASSOCIATE Under PMA,,,,MSE
9323261,PRAKASHTAM SECURITY & FACILITY PRIVATE LIMITED Under PMA,,,,MSE
9323261,PREEKSHIT MANPOWER PRIVATE LIMITED Under PMA,,,,MSE
9323261,PRITHVI MANPOWER SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9323261,PROHIRE ELITE ENTERPRISES LLP Under PMA,,,,MSE
9323261,PUNJAB SERVICE AGENCY Under PMA,,,,N/A
9323261,R J PRIME SERVICES Under PMA,,,,MSE
9323261,R K ENTERPRISES Under PMA,,,,MSE
9323261,R M ENTERPRISES Under PMA,,,,MSE
9323261,R.V.ENTERPRISE Under PMA,,,,MSE
9323261,RAJENDRA  TIWARI CONTRACTOR Under PMA,,,,N/A
9323261,RAJNAR EMPOWERMENT SERVICES Under PMA,,,,N/A
9323261,RAPID SERVICES AGENCY Under PMA,,,,N/A
9323261,Ravi Enterprises Under PMA,,,,MSE
9323261,RAVLEEN SECURITY PRIVATE LIMITED Under PMA,,,,MSE
9323261,Rawat G and R Associates Under PMA,,,,MSE
9323261,RIDHISIDHI TEAM SOLUTIONS Under PMA,,,,MSE
9323261,RM ENTERPRISES Under PMA,,,,MSE
9323261,ROHHIT ENTERPRISES Under PMA,,,,MSE
9323261,ROMAN SEVEN SECURITY PRIVATE LIMITED Under PMA,,,,N/A
9323261,ROYAL DIGITAL SOLUTIONS Under PMA,,,,MSE
9323261,RPY MANPOWER SOLUTION PRIVATE LIMITED Under PMA,,,,MSE
9323261,RRPERFECT SECURITY SERVICES INDIA PRIVATE LIMITED Under PMA,,,,MSE
9323261,RS ENTERPRISE Under PMA,,,,MSE
9323261,SADHNA SECURITY SERVICES Under PMA,,,,MSE
9323261,Sai A1 Services Under PMA,,,,N/A
9323261,SAI PTP SOLUTIONS LLP Under PMA,,,,MSE
9323261,SAMRAT SECURITY SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SAMRIDHI GREEN FORCE PRIVATE LIMITED Under PMA,,,,N/A
9323261,SARSP TECH SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SEBUSHI SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SECURITY AND INTELLIGENCE SERVICES BUREAU Under PMA,,,,N/A
9323261,SHAMMI MITTAL Under PMA,,,,N/A
9323261,SHANKARMEERA SR SERVICES PRIVATE LIMITED Under PMA,,,,N/A
9323261,SHERWOOD SECURITY & MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SHIVARCHITA MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SHIVDULARI ENTERPRISES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SHREE BHOMIYAJI TROOPS PRIVATE LIMITED Under PMA,,,,MSE
9323261,SHREE SHYAM ENTERPRISES Under PMA,,,,MSE
9323261,SHRI KRISHNA CONSTRUCTIONS Under PMA,,,,MSE
9323261,SHRI OM MAN POWER SERVICE PROVIDER Under PMA,,,,MSE
9323261,SHUBHAM ENTERPRISE Under PMA,,,,MSE
9323261,SIDHESHWAR SECURITY SERVICES Under PMA,,,,N/A
9323261,SK ENTERPRISES SOLUTIONS LLP Under PMA,,,,MSE
9323261,SNEPRA SECURE SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SPSMS GLOBAL PRIVATE LIMITED Under PMA,,,,MSE
9323261,SRA INFO SOLUTIONS Under PMA,,,,MSE
9323261,SRV ENTERPRISE Under PMA,,,,MSE
9323261,SSS SECURITY FORCE (OPC) PRIVATE LIMITED Under PMA,,,,MSE
9323261,SUNSPIRE-SKY PRIVATE LIMITED Under PMA,,,,MSE
9323261,SUPERMAN SECURITY SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,SVIAN SECURITY PRIVATE LIMITED Under PMA,,,,N/A
9323261,TALENT EXCEL PRIVATE LIMITED Under PMA,,,,MSE
9323261,TEJASHIV MANPOWER SERVICE Under PMA,,,,MSE
9323261,TMS SECURITY SERVICES Under PMA,,,,MSE
9323261,TOTAL OFFICE SOLUTION Under PMA,,,,MSE
9323261,TROMSO SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,TS MANPOWER SERVICES Under PMA,,,,MSE
9323261,Ujjwal common service center Under PMA,,,,MSE
9323261,UPANYA DEVELOPERS AND MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,MSE
9323261,V K ENTERPRISES Under PMA,,,,MSE
9323261,VAISHNAVI ENTERPRISES Under PMA,,,,MSE
9323261,VAJRA SECURITY SERVICES Under PMA,,,,N/A
9323261,VAMIKA CORPORATE SERVICES Under PMA,,,,MSE
9323261,VANSH MANPOWER SOLUTIONS PRIVATE LIMITED Under PMA,,,,MSE
9323261,VCS Education Healthcare & Outsourcing Under PMA,,,,MSE
9323261,VEERVAYU ASSOCIATES Under PMA,,,,N/A
9323261,VERTEX WORKFORCE PRIVATE LIMITED Under PMA,,,,N/A
9323261,VG MANPOWER SERVICES PRIVATE LIMITED Under PMA,,,,N/A
9323261,VILOHITA SKYBUILT PRIVATE LIMITED Under PMA,,,,MSE
9323261,WEBORNET PRIVATE LIMITED Under PMA,,,,MSE
9323261,WHITELION EXIM SECURITY PRIVATE LIMITED Under PMA,,,,MSE
9323261,WORLD SPACE Under PMA,,,,N/A
9323261,Xumify Under PMA,,,,MSE
9323261,YASH R SOLUTION Under PMA,,,,MSE
9323261,ZEALOUS SECURATOR PRIVATE LIMITED Under PMA,,,,MSE
9359607,ARMED FORCE EX SERVICEMAN WELFARE CO OPERATIVE SOCIETY LIMITED Under PMA,L1,1375011.0,` 1375011.00,
9359607,MOHINDER ROAD LINES Under PMA,L2,1384604.1,` 1384604.10,
9359607,THE DESERT STORM Under PMA,L3,1387801.8,` 1387801.80,
9321975,CHINTAHARAN RETAILER LIMITED Under PMA,,,,N/A
9321975,M/S CHINTAHARAN ENTERPRISES Under PMA,,,,N/A
9321975,SHRI HARI INFOTECH Under PMA,,,,N/A
9311878,KAVYA TRADERS Under PMA,,,,MSE
9311878,NAINA ENTERPRISES Under PMA,,,,MSE
9311878,SAMRIDDHI ENTERPRISES Under PMA,,,,MSE
9353305,FAYAZ AHMAD MALIK GENERAL ORDER SUPPLIER Under PMA,,,,N/A
9353305,M/S MOHAMMAD AFZAL MAGRAY Under PMA,,,,N/A
9353305,WASEEM AHMAD MALIK Under PMA,,,,N/A
9321986,M/S  NEW WAVES Under PMA,,,,Offline upload
9321986,M/S ADARSH ENTER PRISES Under PMA,,,,Offline upload
9321986,M/S V. TEL MARKETIND AND COMMUNICATION Under PMA,,,,Offline upload
9358789,"M/S VERSHA ASSOCIATES, VARANASI Under PMA",L1,1014000.0,` 1014000.00,
9358789,TRIMURTI SUPPLIERS AND CONTRACTORS Under PMA,L2,1020000.0,` 1020000.00 (Bid Price),
9358789,POOJA ENTERPRISES Under PMA,L3,1080000.0,` 1080000.00 (Bid Price),
9353780,"MA TARA ENTERPRISE (MSE,MII) Under PMA",L1,629661.02,` 629661.02,
9353780,"CMS TECHNO SERVICES (MSE,MII) Under PMA",L2,631288.14,` 631288.14,
9353780,"MICROMECH EQUIPMENTS (MSE,MII) Under PMA",L3,693200.0,` 693200.00,
9353780,"MODERN POWER ENGINEERING COMPANY (MSE,MII) Under PMA",L4,699090.0,` 699090.00,
9353780,THE MINING & ENGINEERING CORPORATION (MSE) Under PMA,L5,835593.22,` 835593.22,
9353780,"DURGAPUR CASTING & ALLIED PRODUCTS PVT LTD (MSE,MII) Under PMA",L6,949152.54,` 949152.54 (Bid Price),
9353780,"HOWRAH STEEL & METALCRAFTS PRIVATE LIMITED (MSE,MII) Under PMA",L7,1647864.41,` 1647864.41 (Bid Price),
9358909,NTECNOVIC SOLUTIONS PRIVATE LIMITED Under PMA,L1,7787520.0,` 7787520.00,
9358909,ADARSH ENTERPRISES Under PMA,L2,7802496.0,` 7802496.00,
9358909,AARU SECURE PRIVATE LIMITED Under PMA,L3,7817472.0,` 7817472.00,
9358909,RANA SON'S & COMPANY Under PMA,L4,7862400.0,` 7862400.00 (Bid Price),
9358750,"M/S SUBHADRA STEEL (MSE,MII) Under PMA",L1,2722684.0,` 2722684.00,
9358750,"M/s JSB CONSTRUCTION (MSE,MII) Under PMA",L2,2750000.0,` 2750000.00 (Bid Price),
9358750,"M/S T.N.T. ENTERPRISES (MSE,MII) Under PMA",L3,2800000.0,` 2800000.00 (Bid Price),
9321604,DISTRICT SPORTS CENTER Under PMA,,,,N/A
9321604,M/S HARI OM ENTERPRISES GARUR Under PMA,,,,N/A
9321604,SHRI HARI TRADERS Under PMA,,,,N/A
9321502,JAY ENTERPRISES Under PMA,,,,Offline upload
9321502,M. K. ENTERPRISES Under PMA,,,,Offline upload
9321502,MAA VAISHNO ENTERPRISES Under PMA,,,,Offline upload
9358592,"SHRADHA CHEMIST (MSE,MII) Under PMA",L1,1079995.0,` 1079995.00,
9358592,"PROMPT PHARMA (MSE,MII) Under PMA",L2,1081399.5,` 1081399.50,
9358592,"MAHADEV ENTERPRISE (MSE,MII) Under PMA",L3,1101661.0,` 1101661.00,
9358581,"STAR NUKE CONSULTING ENGINEERING SERVICES PRIVATE LIMITED (MSE,MII) Under PMA",L1,40000.0,` 40000.00,
9358581,"TECHNOMAC MEDICAL SYSTEMS PRIVATE LIMITED (MSE,MII) Under PMA",L2,41000.0,` 41000.00,
9358581,ABA TECHNOLOGIES (MII) Under PMA,L3,63000.0,` 63000.00,
9299692,KONARK ENGINEERS & TRADERS Under PMA,,,,N/A
9299692,KULBUSHAN KUMAR Under PMA,,,,MSE
9299692,M/S T&D CONSTRUCTION AND TRADING CO. Under PMA,,,,MSE
9299692,MADHAV ENTERPRISES Under PMA,,,,N/A
9299692,SUPER POWER ENTERPRISES Under PMA,,,,MSE
9305749,ELITE TECHNOLOGIES Under PMA,,,,N/A
9305749,EXTREME I T SOLUTIONS Under PMA,,,,MSE
9305749,Smart Technologies Under PMA,,,,N/A
9358399,"M/S SHREE DURGA ENTERPRISE (MSE,MII) Under PMA",L1,1315000.0,` 1315000.00,
